Academy Close						0		
Acton Street	1	1				1	Habitational name originated from Old English ac ‘oak’ + tun ‘settlement’. Appropriately named for its location in the Oaklands neighborhood with an abundance of Garry oak trees.	http://www.oxfordreference.com/abstract/10.1093/acref/9780195081374.001.0001/acref-9780195081374-e-211?rskey=CLQwQV&result=211  https://en.wikipedia.org/wiki/Quercus_garryana
Adanac Street	2	2				1	Adanac is Canada spelt backwards. Originally Second Street.	
Albany Street						0		
Albert Avenue	1	5				1	A number of areas, streets and parks in Victoria are named after Prince Albert. There is also a giant sequoia tree that towers over Albert Avenue. This tree was likely transplanted from California to Victoria around 1900.	https://www.google.com/maps/d/u/0/viewer?ll=48.43284176282098%2C-123.3323202356371&spn=0.004983%2C0.00912&t=h&hq&msa=0&z=19&source=embed&ie=UTF8&hnear=Sooke%2C%20Capital%20Regional%20District%2C%20British%20Columbia%2C%20Canada&mid=1oFvGsQGHdFIrqtqC2iwVThDdCqc
Alder Street		3				1	Alder is a common name for a flowering plant belonging to the Birch family. In the Pacific Northwest, the White Alder grows in warm climates near watercourses.	https://en.wikipedia.org/wiki/Alder
Alderman Road	1	4				1	Alderman translates in old english to "A man of high rank". This road is named Alderman after Charles Frederick Banfield's elected position as an alderman.	http://www.victoriawest.ca/victoria-west-history/
Algoa Place						0		
Alma Place						0		
Alpha Street						0		
Alpha Terrace						0		
Alston Street						0		
Amelia Street						0		
Amphion Street	1	6				1	Named for Leander-class cruiser HMS Amphion of the British Navy, assigned to the BC coast in 1888. In 1889 she ran aground and sustained serious damage but was repaired and continued to serve the Royal Navy until she was sold in 1904.	https://victoriaheritagefoundation.ca/Neighbourhoods/gonzaleshistory.html
Angus Road	1	7	1			1	Named after James and Forrest Angus, brother's of Richard B. Angus. Richard was a Scottish-Canadian financier, philanthropist and co-founder of the Canadian Pacific Railway.	https://victoriaheritagefoundation.ca/Neighbourhoods/rocklandhistory.html
Arbutus Way						0		
Armine Place		5	2			1	After the daughter of famed civil engineer Fred Pemberton, Armine Pemberton.	
Arnold Avenue						0		
Arthur Avenue						0		
Arthur Currie Lane	2	5	3			1	After General Sir Arthur Currie, GCMG, KCB, VD, a military man and Commanding Officer in the 5th Regiment CGA, who is considered one of the finest commanders in Canadian military history. Currie was a Brigade Commander in the 2nd Battle of Ypres, division commander in both the Battle of Mont Sorrel and Battle of Vimy Ridge and Canadian Corps commander in both the Battle of Hill 70 and the 2nd Battle of Passchendaele during WWI.	https://en.wikipedia.org/wiki/Arthur_Currie
Ashgrove Street						0		
